Time,1 LVL TZ: Zone Lights Electricity Rate (W) - Hourly,2 LVL TZ: Zone Lights Electricity Rate (W) - Hourly,1 LVL TZ: Zone Electric Equipment Electricity Rate (W) - Hourly,2 LVL TZ: Zone Electric Equipment Electricity Rate (W) - Hourly,CONST SPD FAN: Fan Electricity Rate (W) - Hourly,CONST SPD FAN 1: Fan Electricity Rate (W) - Hourly,FAN CONSTANT VOLUME 1: Fan Electricity Rate (W) - Hourly,1 SPD DX CLG COIL: Cooling Coil Electricity Rate (W) - Hourly,1 SPD DX CLG COIL 1: Cooling Coil Electricity Rate (W) - Hourly,COIL COOLING DX SINGLE SPEED 1: Cooling Coil Electricity Rate (W) - Hourly,PUMP CONSTANT SPEED 1: Pump Electricity Rate (W) - Hourly
21 Jul 01:00,0,37.5,0,0,204.85268064028364,0,97.14285714285721,1143.6316694091754,0,0,0
21 Jul 02:00,0,37.5,0,0,204.85268064028355,0,97.14285714285715,1133.1305902768024,0,0,0
21 Jul 03:00,0,37.5,0,0,204.85268064028358,0,97.14285714285718,1044.1714546786231,0,0,0
21 Jul 04:00,0,37.5,0,0,204.85268064028352,0,97.14285714285712,983.8600796267382,0,0,0
21 Jul 05:00,0,37.5,0,0,204.85268064028352,0,97.14285714285712,988.3943187929882,0,0,32.24248204999236
21 Jul 06:00,0,37.5,0,0,204.85268064028352,0,97.14285714285712,979.1193276982073,0,0,0
21 Jul 07:00,0,37.5,0,0,204.85268064028352,0,97.14285714285712,941.0492601527093,0,0,0
21 Jul 08:00,75,37.5,0,0,204.85268064028347,0,97.1428571428571,942.1985471421631,0,9.436033718673695,0
21 Jul 09:00,941.5261598103294,380.0908184352175,0,51.907699762911754,204.85268064028364,0,0,187.04482640689488,0,0,32.24248204999237
21 Jul 10:00,41.5261598103294,380.0908184352175,0,51.907699762911754,204.85268064028352,0,0,101.12399639969571,0,0,32.24248204999236
21 Jul 11:00,41.5261598103294,380.0908184352175,0,51.907699762911754,204.85268064028352,0,0,112.18026394890332,0,0,32.24248204999236
21 Jul 12:00,41.5261598103294,380.0908184352175,0,51.907699762911754,204.85268064028352,0,0,114.22303783614474,0,0,32.24248204999236
21 Jul 13:00,41.5261598103294,380.0908184352175,0,51.907699762911754,204.85268064028352,0,0,108.46546316040902,0,0,32.24248204999236
21 Jul 14:00,41.5261598103294,380.0908184352175,0,51.907699762911754,204.85268064028352,0,0,102.69693358821839,0,0,32.24248204999236
