Time,600 GAL WATER HEATER - 600 KBTU/HR: Water Heater Heating Rate (W) - Hourly,COIL HEATING GAS 1: Heating Coil NaturalGas Rate (W) - Hourly,1 SPD DX CLG COIL: Cooling Coil Total Cooling Rate (W) - Hourly,1 SPD DX CLG COIL 1: Cooling Coil Total Cooling Rate (W) - Hourly,COIL COOLING DX SINGLE SPEED 1: Cooling Coil Total Cooling Rate (W) - Hourly
21 Jul 01:00,0,113.67348524068056,4138.518742138097,0,0
21 Jul 02:00,0,209.84323660146092,4027.1709026479307,0,0
21 Jul 03:00,0,277.8251439103063,3704.258827731126,0,0
21 Jul 04:00,0,337.5164647184971,3395.7834687441814,0,0
21 Jul 05:00,0,385.6010731490766,3406.79300517815,0,0
21 Jul 06:00,0,378.96871689858085,3378.1755383166624,0,0
21 Jul 07:00,0,281.1413130818165,3255.1649799831066,0,0
21 Jul 08:00,0,55.178634791985,3392.3566830295863,0,28.775420890826624
21 Jul 09:00,8061.354031636621,0,543.4509530616725,0,0
21 Jul 10:00,17969.477916131193,0,290.5411612219139,0,0
21 Jul 11:00,18860.231578116152,0,318.2851427335018,0,0
21 Jul 12:00,17946.56544851005,0,320.0017038652162,0,0
21 Jul 13:00,0,0,300.6090374350372,0,0
21 Jul 14:00,0,0,282.2182274793102,0,0
21 Jul 15:00,0,0,289.63105120424194,0,0
21 Jul 16:00,0,0,282.1831372333068,0,0
21 Jul 17:00,0,0,267.7844757849004,0,0
21 Jul 18:00,0,0,437.7457635730966,0,0
21 Jul 19:00,0,0,352.2429753209356,0,0
21 Jul 20:00,0,0,312.7474419887298,0,0
21 Jul 21:00,0,0,10386.911662843153,0,485.5250708876858
21 Jul 22:00,0,0,9041.088215599806,0,307.45369705596835
21 Jul 23:00,0,0,6833.630352835152,0,152.28889835595928
22 Jul 00:00,0,7.338863724476269,4870.657612820273,0,24.222074144566307
21 Jul 01:00,0,1055.3373981816878,3740.103701795408,0,0
21 Jul 02:00,0,1150.7468847939558,3750.5824155033056,0,0
21 Jul 03:00,0,1218.129221755288,3654.0218080827303,0,0
21 Jul 04:00,0,1277.2608656081218,3598.6859579051106,0,0
21 Jul 05:00,8085.994005475458,1324.8704086452337,3558.1608414796756,0,0
21 Jul 06:00,0,1318.295819252402,3453.3794387080925,0,0
21 Jul 07:00,0,1221.3869624446772,3180.100126956673,0,0
21 Jul 08:00,0,968.0035936564003,2961.628432476716,0,0
21 Jul 09:00,8063.0108310247115,0,413.34485536148105,0,0
21 Jul 10:00,17919.84267280732,0,226.4533094944948,0,0
21 Jul 11:00,18860.57683527085,0,255.0421872095876,0,0
21 Jul 12:00,17957.65079747928,0,265.47379915486783,0,0
21 Jul 13:00,6298.681029709932,0,254.7498590518338,0,0
21 Jul 14:00,0,0,242.92646818777544,0,0
21 Jul 15:00,0,0,252.61497474882833,0,0
21 Jul 16:00,0,0,248.6201797460043,0,0
21 Jul 17:00,0,0,237.98298497393307,0,0
21 Jul 18:00,0,0,404.45636030126644,0,0
21 Jul 19:00,17068.514297387144,0,378.1807846704988,0,0
21 Jul 20:00,0,0,332.245121256495,0,0
21 Jul 21:00,0,456.0615862275029,10433.426824333283,0,0
21 Jul 22:00,0,634.7864589955022,6284.673642773872,0,0
21 Jul 23:00,0,790.0408969064296,5585.181215016592,0,0
22 Jul 00:00,0,928.5472898198432,3711.4895974451633,0,0
21 Jul 01:00,0,429.6445772744225,4179.561392002007,0,0
21 Jul 02:00,0,525.7123924212578,3827.070974255137,0,0
21 Jul 03:00,0,593.5504587855825,3647.7099223058062,0,0
21 Jul 04:00,0,653.0687094186378,3002.504535758744,0,0
21 Jul 05:00,0,700.984613254384,3071.7996261064814,0,0
21 Jul 06:00,0,694.3772341222278,3050.0995848963953,0,0
21 Jul 07:00,0,596.8504695999436,3206.270081853483,0,0
21 Jul 08:00,11600.020515388702,341.53787978545665,5070.422578647498,0,0
21 Jul 09:00,9795.287125250248,0,486.2296220381516,0,0
21 Jul 10:00,18821.769416669875,0,267.2594988743297,0,0
21 Jul 11:00,17993.987526849818,0,296.96499585902876,0,0
21 Jul 12:00,17920.075691174712,0,302.36758763738663,0,0
21 Jul 13:00,6299.68465995906,0,286.4016770171102,0,0
21 Jul 14:00,0,0,270.61024373417587,0,0
21 Jul 15:00,0,0,279.30173991005523,0,0
21 Jul 16:00,0,0,273.24797711894263,0,0
21 Jul 17:00,0,0,260.2022570575546,0,0
21 Jul 18:00,0,0,408.0082387454834,0,0
21 Jul 19:00,8037.0448687821945,0,375.26746499360746,0,0
21 Jul 20:00,0,0,337.34332605971844,0,0
21 Jul 21:00,0,0,10536.21300010242,0,179.0107242607891
